,,,Control 0h,,Control 4h,,Control 8h,,Day 1 0h,,Day 1 4h,,Day 1 8h,,Day 2 0h,,Day 2 4h,,Day 2 8h,,Day 3 8h,,Day 5 8h,,Day 7 0h,,Day 7 4h,,Day 7 8h,
Name,Name,,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE
Serine_1361_2TMS,Serine,,12869222.4,909290.9292,34523171,1795241.148,24261205.6,3196724.476,5447993.4,394365.7733,6971572.6,340388.0853,12529178.8,1830510.11,7532396.2,640081.3889,16060711.2,1731364.551,9447071.6,874188.2485,17345257.2,1939999.63,19847331.8,1493302.591,21121996.6,940810.9327,33915382.83,3713191.149,23240474.4,2450331.334
Serine_1408_3TMS,Serine,,308400.8,31763.758,1540828.6,69520.86658,1248858.4,299161.2114,82170.2,2896.276979,221344.4,38731.04086,940155.6,477524.4784,160626.8,21918.12071,764882.6,17487.18037,80109.4,1095.21859,563075.2,90811.06838,1138568.8,424708.8376,213582.8,8363.012767,161256.6667,7614.755959,4819819.6,3962022.241
Shikimic acid_1838_4TMS,Shikimate,,1080692.6,23104.12623,1843409.6,103206.2065,1835732.4,191588.3316,689025.2,17933.62504,1627402.4,203597.6812,5914821.4,331233.4713,3402892,745454.898,5151353,415867.6427,4412252.6,179070.823,3857268.4,725641.5583,7315467.2,1051437.12,14523338.2,1301736.295,18305072.33,1817481.903,6318918.4,1594611.643
Sorbose_1849_5TMS,Sorbose,,2028552.4,79617.90526,79934499.8,3343953.029,23570929.8,12321824.79,723453.8,13139.52416,106774226.8,3925314.004,166755436.4,3586188.485,158571107.8,9818417.173,169006166.2,1294560.192,194797863.8,13284950.05,168068650.8,9395548.474,200192882,13833954.95,305189582.2,67514755.82,371180033.7,41075381.38,164331083.2,52671576.26
Succinic acid d4_1419_2TMS,STANDARD,,86221757.4,4710317.588,94115969.4,2591867.796,95606538.2,4205741.987,106942798,4178108.811,92206300.2,2893364.694,102092037,2376277.825,94383527,2588337.016,97186584,2355667.298,96386137.2,2988211.651,97636624.2,5275955.945,92281039.6,17246649.02,187494358.8,2825675.083,229426306.2,32804831.87,109332016.8,39746050.61
Sucrose_2323_8TMS,Sucrose,,21884517,709882.1445,246788526.4,5944479.222,233298799,5552934.235,395289763,6147616.132,205090597,3934883.871,436433729.6,18328745.14,369004520.4,24221856.47,174351487.4,7645351.693,229488179.2,8801747.154,358765991.2,8882262.74,327936578.4,6158278.802,396277536,32835031.48,483667614.3,33741491.62,323298074.8,12111492.95
Threonine_1384_2TMS,Threonine,,127930291.6,7951610.987,101183081.2,5288111.996,125019778.8,4275779.874,80193970.6,3329376.263,86567084,4387522.627,171206949.6,2619615.489,133781172,4261021.92,99049609.4,7835856.662,92071024.6,342705.8972,140528479.4,6451680.806,91235660.8,29461279.55,188301867.2,8985778.167,149961048.3,17352340.35,24403970.8,1898698.271
Threose_1819_3TMS,Threose,,1547689.8,86661.03949,1496502,321098.0434,1292692.4,340597.7826,642861.8,19699.22438,19065252.8,18488274.09,1241244.2,241531.2896,1334825.2,212973.9322,271660.2,8669.209078,231607.8,18434.2323,501586.4,76543.26257,496935.4,60610.24868,1097223,58404.07322,706839,42936.97084,564543.6,40679.51886
Threose_1840_3TMS,Threose,,2301363.4,279905.6627,3784204.8,577363.0081,5050172.2,553704.6574,1265835.6,63147.51797,2232197.2,241463.277,3696237.8,435930.8607,3470535.6,444815.8849,1591357.8,278904.5437,1795442.4,99197.75987,1238510.6,138201.7249,1438863.2,155533.483,1496400.8,205569.0078,3724016.167,1882437.625,1235736.2,37389.06473
Trehalose_2614_8TMS,Trehalose,,567887.4,40892.16795,2523823.6,1551089.543,1018401,39271.9182,414182.6,19456.3214,631087.2,99902.28728,390315,13977.05332,1062351,165453.9399,805993,31204.03986,723481.4,36479.68077,450700,29006.6268,673586.8,93969.26525,2567306.4,55216.62352,5297836.833,1531897.155,1045772.2,221862.882
Unknown 1,,,175002.8,6920.623241,256963.6,41437.14338,475156.2,63176.8321,467403.4,38202.98946,267805.6,18052.46919,281618.2,5601.796144,430274.6,16638.11906,,,367508.4,4776.511432,342304.2,37766.23243,359397.6,36612.67922,,,1132525.5,61696.22355,374086,26293.35012
Unknown 10,,,113786809.4,8488314.928,141585269.4,2725852.566,152903363.2,6702999.987,98182585.6,2534578.396,115376206.4,4934438.919,154643028.6,5081503.087,143398272.8,11174063.35,69674178.6,23306443.52,94041710.8,4904511.546,124950990.8,3763060.486,109074382.4,37975244.14,208194364.2,9738105.018,,,27847373.6,2908687.738
